run_id,method,seed,region,n_points,config_id,depth,hidden,activation,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,quick,cache,n_train,grid_points
20260908T173918Z,ensemble,0,extrapolation,200,d1_h50_tanh,1,50,tanh,0.3598029202828988,-3.4304974432548936,0.625,0.43376618719549503,0.1044451480636298,0.22181818181818186,-0.22181818181818186,760,62.113,False,False,250,500
20260908T173918Z,ensemble,0,overall,500,d1_h50_tanh,1,50,tanh,0.2387949019328813,-0.812396292433802,0.83,0.4245479564742581,0.1044451480636298,0.062181818181818185,-0.062181818181818185,760,62.113,False,False,250,500
20260908T173918Z,bbb,0,in_range,300,d1_h50_tanh,1,50,tanh,0.09738510304528183,0.9040695031062448,0.96,0.4133152673497207,0.10469531397815944,0.02333333333333335,0.017878787878787886,303,24.937,False,False,250,500
20260908T173918Z,bbb,0,extrapolation,200,d1_h50_tanh,1,50,tanh,0.1537914082279317,0.2827843777964764,0.84,0.41766528163170863,0.10469531397815945,0.09954545454545452,-0.09954545454545452,303,24.937,False,False,250,500
20260908T173918Z,bbb,0,overall,500,d1_h50_tanh,1,50,tanh,0.12308953600926534,0.6555554529823375,0.912,0.41505527306251583,0.10469531397815945,0.02909090909090908,-0.02909090909090908,303,24.937,False,False,250,500
20260908T173918Z,laplace,0,in_range,300,d1_h50_tanh,1,50,tanh,0.09550561886857725,0.9213427549794907,0.96,0.412091226285518,0.10371997618756196,0.0284848484848485,0.027272727272727282,152,12.32,False,False,250,500
20260908T173918Z,laplace,0,extrapolation,200,d1_h50_tanh,1,50,tanh,0.41436937092521064,-0.21983353843014528,0.835,0.8127983281826383,0.10371997618756196,0.12409090909090911,-0.12409090909090911,152,12.32,False,False,250,500
20260908T173918Z,laplace,0,overall,500,d1_h50_tanh,1,50,tanh,0.2723115571650676,0.46487223761563634,0.91,0.572374067044366,0.10371997618756196,0.03327272727272727,-0.03327272727272727,152,12.32,False,False,250,500
20260908T173918Z,map,0,in_range,300,d1_h50_relu,1,50,relu,0.09627344777370589,0.9206475265945083,0.9566666666666667,0.3894932005087482,0.09936233614010795,0.01242424242424242,0.011212121212121208,152,12.287,False,False,250,500
20260908T173918Z,map,0,extrapolation,200,d1_h50_relu,1,50,relu,0.21737048973348616,-1.0028731049804023,0.725,0.3894932005087482,0.09936233614010795,0.21045454545454548,-0.21045454545454548,152,12.287,False,False,250,500
20260908T173918Z,map,0,overall,500,d1_h50_relu,1,50,relu,0.1564005050200674,0.15123927396454412,0.864,0.38949320050874825,0.09936233614010795,0.07745454545454544,-0.07745454545454544,152,12.287,False,False,250,500
20260908T173918Z,mcd,0,in_range,300,d1_h50_relu,1,50,relu,0.11246488730688316,0.5666479794606658,1.0,0.7574694361936354,0.1608447953711314,0.14666666666666667,0.14666666666666667,152,13.299,False,False,250,500
20260908T173918Z,mcd,0,extrapolation,200,d1_h50_relu,1,50,relu,0.27362207246349873,-0.22099496121906512,1.0,1.502350307605111,0.16084479537113142,0.06954545454545455,0.03318181818181817,152,13.299,False,False,250,500
20260908T173918Z,mcd,0,overall,500,d1_h50_relu,1,50,relu,0.1937437120059849,0.25159080318877347,1.0,1.0554217847582257,0.16084479537113142,0.10127272727272728,0.10127272727272728,152,13.299,False,False,250,500
20260908T173918Z,ensemble,0,in_range,300,d1_h50_relu,1,50,relu,0.0952606160181335,0.9295971671978481,0.9666666666666667,0.3939940610373826,0.09978098736271952,0.020909090909090912,0.019090909090909092,760,61.445,False,False,250,500
20260908T173918Z,ensemble,0,extrapolation,200,d1_h50_relu,1,50,relu,0.22618921104040263,-0.6501887697030468,0.75,0.4184447044821122,0.09978098736271952,0.1890909090909091,-0.1890909090909091,760,61.445,False,False,250,500
20260908T173918Z,ensemble,0,overall,500,d1_h50_relu,1,50,relu,0.16096389239492342,0.2976827924374901,0.88,0.4037743184152745,0.09978098736271952,0.06418181818181817,-0.06418181818181817,760,61.445,False,False,250,500
