run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,variant,n_train,grid_points,noise_sigma,epochs,z,cal_levels,torch_threads,quick,cache
20260905T005453Z,ensemble,2,overall,500,0.2465552378558327,-1.127326158284362,0.82,0.4166888109807459,0.10384915146215518,0.07818181818181819,-0.07818181818181819,760,68.088,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,bbb,2,in_range,300,0.1063538957490683,0.8220119308135075,0.9466666666666667,0.4146898434589334,0.10503941117918246,0.009696969696969697,0.0042424242424242385,303,28.618,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,bbb,2,extrapolation,200,0.20259212063510404,-0.4759351539602356,0.775,0.4185257760928673,0.10503941117918246,0.13909090909090907,-0.13909090909090907,303,28.618,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,bbb,2,overall,500,0.15232897827391093,0.3028330969040103,0.878,0.4162242165125069,0.10503941117918246,0.053090909090909084,-0.053090909090909084,303,28.618,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,laplace,2,in_range,300,0.10440951159316465,0.8404823823704616,0.9433333333333334,0.41011073543925314,0.1029620320373233,0.01848484848484848,0.008787878787878782,152,13.693,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,laplace,2,extrapolation,200,0.38819887547446247,-0.18875064386063087,0.835,0.8405986354169304,0.1029620320373233,0.10590909090909091,-0.10590909090909091,152,13.693,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,laplace,2,overall,500,0.25849594665009507,0.4287891718780247,0.9,0.582305895430324,0.1029620320373233,0.03818181818181818,-0.03709090909090909,152,13.693,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,gp,2,in_range,300,0.10342580884500041,0.8500269927635293,0.9533333333333334,0.40566697124680223,0.10211644655822652,0.011818181818181834,0.005757575757575776,3,0.708,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,gp,2,extrapolation,200,0.12262038237871321,0.2668473673643365,1.0,1.2221978154817512,0.10211644655822652,0.2159090909090909,0.2159090909090909,3,0.708,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,gp,2,overall,500,0.1115008611223531,0.6167551426038521,0.972,0.7322793089407817,0.10211644655822652,0.08981818181818181,0.08981818181818181,3,0.708,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
