run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,n_parameters,fit_seconds,n_train,grid_points,noise_sigma,z,torch_threads,quick,cache
20260904T210105Z,ensemble,1,extrapolation,200,0.3752185621061135,-4.75804315119636,0.535,0.38940366318115666,0.09229231384622501,760,36.798,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,1,overall,500,0.2512591699852414,-1.4232663787421642,0.764,0.37495135542859714,0.09229231384622502,760,36.798,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,1,in_range,300,0.10929608405824039,0.7796861348640098,0.9166666666666666,0.38046606221185053,0.09567303091552647,303,13.74,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,1,extrapolation,200,0.21388830831738848,-0.9494312883954314,0.575,0.3870703351976678,0.09567303091552647,303,13.74,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,1,overall,500,0.15958278029984707,0.08803916556023324,0.78,0.38310777140617747,0.09567303091552647,303,13.74,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,1,in_range,300,0.10589216656606623,0.810800017866286,0.92,0.3674712261756869,0.09250392697485978,152,6.487,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,1,extrapolation,200,0.3908426192462925,-0.23813432891198538,0.815,0.7742767178257002,0.09250392697485979,152,6.487,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,1,overall,500,0.2604439897017289,0.3912262791549775,0.878,0.5301934228356923,0.09250392697485979,152,6.487,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,1,in_range,300,0.10613038724916544,0.7995805268302604,0.91,0.35846654824539304,0.09030562321091877,3,1.052,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,1,extrapolation,200,0.221699618480426,0.15566124248071586,0.975,1.0709607766446245,0.09030562321091877,3,1.052,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,1,overall,500,0.16253763807912697,0.5420128130904426,0.936,0.6434642396050856,0.09030562321091877,3,1.052,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,2,in_range,300,0.10428415841587872,0.8416459789987398,0.9433333333333334,0.40587585009044064,0.10354166027843814,152,6.151,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,2,extrapolation,200,0.3869529700562981,-5.634383728785865,0.575,0.40587585009044064,0.10354166027843814,152,6.151,250,500,0.1,1.959963984540054,1,False,False
