run_id,dataset,split,hyperparameter,value,lower_bound,upper_bound,log_value,log_lower,log_upper,log_margin_to_nearest_bound,on_bound,log_marginal_likelihood,fitted_here,convergence_warnings,variant,quick
20260905T030246Z,yacht,4,k2__noise_level,0.00010744439102049202,9.999999999999997e-06,100000.00000000001,-9.138537137071285,-11.512925464970229,11.512925464970229,2.3743883278989433,False,295.5750931746985,True,0,,False
20260905T030246Z,yacht,5,k1__k1__constant_value,11.311423867714154,9.999999999999997e-06,100000.00000000001,2.4258131767852404,-11.512925464970229,11.512925464970229,9.087112288184988,False,304.4694575331954,True,0,,False
20260905T030246Z,yacht,5,k1__k2__length_scale,1.5151221993505244,9.999999999999997e-06,100000.00000000001,0.41549609534582865,-11.512925464970229,11.512925464970229,11.0974293696244,False,304.4694575331954,True,0,,False
20260905T030246Z,yacht,5,k2__noise_level,9.720492125285993e-05,9.999999999999997e-06,100000.00000000001,-9.238689217606089,-11.512925464970229,11.512925464970229,2.27423624736414,False,304.4694575331954,True,0,,False
20260905T030246Z,yacht,6,k1__k1__constant_value,10.571432727214747,9.999999999999997e-06,100000.00000000001,2.3581553372636876,-11.512925464970229,11.512925464970229,9.154770127706541,False,314.8232506610932,True,0,,False
20260905T030246Z,yacht,6,k1__k2__length_scale,1.487835924529383,9.999999999999997e-06,100000.00000000001,0.39732266455791876,-11.512925464970229,11.512925464970229,11.11560280041231,False,314.8232506610932,True,0,,False
20260905T030246Z,yacht,6,k2__noise_level,8.234313869131795e-05,9.999999999999997e-06,100000.00000000001,-9.404615423678647,-11.512925464970229,11.512925464970229,2.108310041291581,False,314.8232506610932,True,0,,False
20260905T030246Z,yacht,7,k1__k1__constant_value,14.203699689751737,9.999999999999997e-06,100000.00000000001,2.653502472203977,-11.512925464970229,11.512925464970229,8.859422992766252,False,297.4350989818299,True,0,,False
20260905T030246Z,yacht,7,k1__k2__length_scale,1.6043249498677823,9.999999999999997e-06,100000.00000000001,0.4727030761256727,-11.512925464970229,11.512925464970229,11.040222388844557,False,297.4350989818299,True,0,,False
20260905T030246Z,yacht,7,k2__noise_level,0.00011917293925208274,9.999999999999997e-06,100000.00000000001,-9.03493484880319,-11.512925464970229,11.512925464970229,2.4779906161670393,False,297.4350989818299,True,0,,False
20260905T030246Z,yacht,8,k1__k1__constant_value,11.058611645666481,9.999999999999997e-06,100000.00000000001,2.4032094588898123,-11.512925464970229,11.512925464970229,9.109716006080417,False,307.88683525158194,True,0,,False
20260905T030246Z,yacht,8,k1__k2__length_scale,1.51952621260565,9.999999999999997e-06,100000.00000000001,0.4183985840358217,-11.512925464970229,11.512925464970229,11.094526880934406,False,307.88683525158194,True,0,,False
