run_id,variant,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,activation,dropout_p,hidden,depth,T,epochs,n_train,grid_points,noise_sigma,z,torch_threads,cache
20260907T230737Z,mcd_variant,2,in_range,300,0.1055011741037367,0.8307662090058121,0.95,0.42968547528441264,0.1059087819938717,0.019999999999999993,0.018181818181818177,152,14.389,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,2,extrapolation,200,0.21202765852228972,0.045759922924091326,0.86,0.5548765693366591,0.1059087819938717,0.09863636363636362,-0.09863636363636362,152,14.389,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,2,overall,500,0.15703690596079017,0.5167636945731239,0.914,0.47976191290531117,0.1059087819938717,0.02854545454545455,-0.02854545454545455,152,14.389,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,2,in_range,300,0.10342580884500041,0.8500269927635293,0.9533333333333334,0.40566697124680223,0.10211644655822652,0.011818181818181834,0.005757575757575776,3,0.762,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,2,extrapolation,200,0.12262038237871321,0.2668473673643365,1.0,1.2221978154817512,0.10211644655822652,0.2159090909090909,0.2159090909090909,3,0.762,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,2,overall,500,0.1115008611223531,0.6167551426038521,0.972,0.7322793089407817,0.10211644655822652,0.08981818181818181,0.08981818181818181,3,0.762,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,3,in_range,300,0.15427766127548218,0.37378248846356366,1.0,0.8453423665571296,0.1780983648299658,0.10939393939393939,0.10939393939393939,152,15.314,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,3,extrapolation,200,0.8257847143122087,-5.3902094122018465,0.115,0.9380054649441457,0.1780983648299658,0.5454545454545454,-0.5454545454545454,152,15.314,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,3,overall,500,0.5357696480931501,-1.9318142718026006,0.646,0.882407605911936,0.1780983648299658,0.1525454545454545,-0.1525454545454545,152,15.314,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,3,in_range,300,0.10642616145528158,0.8144884807459419,0.96,0.41819616056562176,0.10172861725570477,0.016666666666666663,0.008181818181818165,152,13.381,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,3,extrapolation,200,0.31436745051768705,-1.5288221135901188,0.585,0.5496882401433332,0.10172861725570478,0.26681818181818184,-0.26681818181818184,152,13.381,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,3,overall,500,0.2152363219423236,-0.12283575698848227,0.81,0.4707929923967063,0.10172861725570477,0.1018181818181818,-0.1018181818181818,152,13.381,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,3,in_range,300,0.10255922622301414,0.8572535102028962,0.9533333333333334,0.3930253993469148,0.09887691968161419,0.016060606060606067,-0.0009090909090909112,3,1.097,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,3,extrapolation,200,0.24252779282795464,0.04091594910837326,0.96,1.0989341800346721,0.09887691968161419,0.029545454545454538,-0.01136363636363638,3,1.097,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,3,overall,500,0.17273948317532314,0.5307184857650871,0.956,0.6753889116220176,0.0988769196816142,0.009090909090909089,-0.005090909090909085,3,1.097,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,4,in_range,300,0.16803724245531593,0.25081402114052576,0.99,0.9888127836340194,0.2112653480908369,0.1381818181818182,0.1381818181818182,152,14.969,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,4,extrapolation,200,1.0079610134809212,-6.369673665035049,0.055,1.0742679532851775,0.2112653480908369,0.5604545454545454,-0.5604545454545454,152,14.969,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,4,overall,500,0.6506428135238151,-2.3973810533297044,0.616,1.0229948514944827,0.2112653480908369,0.14454545454545453,-0.14127272727272724,152,14.969,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,4,in_range,300,0.10244707477010616,0.852798316521452,0.96,0.4281086767500232,0.10460918804555278,0.020909090909090905,0.009393939393939392,152,14.555,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,4,extrapolation,200,0.33374461507243763,-1.8339977678554187,0.51,0.5667834011699009,0.10460918804555278,0.2859090909090909,-0.2859090909090909,152,14.555,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,4,overall,500,0.22550261442677524,-0.22192011722929642,0.78,0.4835785665179743,0.10460918804555276,0.1087272727272727,-0.1087272727272727,152,14.555,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,4,in_range,300,0.10038812475500075,0.8793004208740539,0.9533333333333334,0.40314563331444436,0.10136349829241523,0.012121212121212139,0.0024242424242424386,3,0.942,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,4,extrapolation,200,0.30350441892503965,-0.11332535148410047,0.965,1.166109020921387,0.10136349829241523,0.08681818181818181,-0.08227272727272726,3,0.942,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,4,overall,500,0.20710537964501488,0.48225011193079215,0.958,0.7083309883572214,0.10136349829241523,0.03545454545454546,-0.03145454545454546,3,0.942,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
